3.737,1
3.802,2
3.622,3
3.622,4
3.322,5
3.067,6
3.352,7
2.787,8
3.302,9
2.577,10
2.072,11
1.522,12
2.072,13
2.072,14
1.532,15
1.822,16
1.775,17
1.592,18
3.022,20
3.592,21
3.572,22
4.272,23
4.622,24
4.687,25
3.312,26
3.302,27
3.352,28
2.927,29
3.157,30
3.952,31
3.172,32
4.550,33
4.150,34
4.525,35
4.575,36
5.400,37
6.527,38
9.252,39
5.252,40
4.727,41
4.677,42
7.552,43
4.727,44
4.852,45
4.827,46
6.902,47
4.352,48
5.102,49
5.277,50
6.855,51
4.980,52
4.130,53
4.775,54
4.720,55
4.945,56
4.500,57
5.125,58
4.900,59
5.350,60
3.950,61
4.375,62
4.600,63
4.690,64
4.005,65
3.300,66
4.300,67
4.700,68
1.645,69
5.300,71
5.485,72
5.325,73
