0,0,3.737
0,65,3.802
0,-180,3.622
0,0,3.622
0,-300,3.322
1,-255,3.067
0,285,3.352
0,-565,2.787
0,515,3.302
0,-725,2.577
0,-505,2.072
0,-550,1.522
0,550,2.072
0,0,2.072
0,-540,1.532
0,290,1.822
0,-47,1.775
0,-183,1.592
3,-1.445,147
0,2.875,3.022
1,570,3.592
1,-20,3.572
0,700,4.272
0,350,4.622
0,65,4.687
0,-1.375,3.312
0,-10,3.302
0,50,3.352
1,-425,2.927
0,230,3.157
0,795,3.952
1,-780,3.172
1,1.378,4.550
0,-400,4.150
0,375,4.525
0,50,4.575
0,825,5.400
0,1.127,6.527
0,2.725,9.252
0,-4.000,5.252
0,-525,4.727
1,-50,4.677
0,2.875,7.552
0,-2.825,4.727
0,125,4.852
0,-25,4.827
0,2.075,6.902
0,-2.550,4.352
0,750,5.102
0,175,5.277
0,1.578,6.855
0,-1.875,4.980
0,-850,4.130
0,645,4.775
0,-55,4.720
0,225,4.945
1,-445,4.500
0,625,5.125
0,-225,4.900
0,450,5.350
2,-1.400,3.950
0,425,4.375
0,225,4.600
0,90,4.690
0,-685,4.005
0,-705,3.300
1,1.000,4.300
0,400,4.700
1,-3.055,1.645
5,-1.645,0
0,5.300,5.300
1,185,5.485
1,-160,5.325
