3.067;3.322;3.622;3.622;3.802;3.737;1.522
3.352;3.067;3.322;3.622;3.622;3.802;2.072
2.787;3.352;3.067;3.322;3.622;3.622;2.072
3.302;2.787;3.352;3.067;3.322;3.622;1.532
2.577;3.302;2.787;3.352;3.067;3.322;1.822
2.072;2.577;3.302;2.787;3.352;3.067;1.775
1.522;2.072;2.577;3.302;2.787;3.352;1.592
2.072;1.522;2.072;2.577;3.302;2.787;3.022
2.072;2.072;1.522;2.072;2.577;3.302;3.592
1.532;2.072;2.072;1.522;2.072;2.577;3.572
1.822;1.532;2.072;2.072;1.522;2.072;4.272
1.775;1.822;1.532;2.072;2.072;1.522;4.322
1.592;1.775;1.822;1.532;2.072;2.072;4.387
3.022;1.592;1.775;1.822;1.532;2.072;3.312
3.592;3.022;1.592;1.775;1.822;1.532;3.302
3.572;3.592;3.022;1.592;1.775;1.822;3.352
4.272;3.572;3.592;3.022;1.592;1.775;2.927
4.322;4.272;3.572;3.592;3.022;1.592;3.157
4.387;4.322;4.272;3.572;3.592;3.022;3.952
3.312;4.387;4.322;4.272;3.572;3.592;3.172
3.302;3.312;4.387;4.322;4.272;3.572;4.550
3.352;3.302;3.312;4.387;4.322;4.272;4.150
2.927;3.352;3.302;3.312;4.387;4.322;4.525
3.157;2.927;3.352;3.302;3.312;4.387;4.575
3.952;3.157;2.927;3.352;3.302;3.312;5.400
3.172;3.952;3.157;2.927;3.352;3.302;6.527
4.550;3.172;3.952;3.157;2.927;3.352;6.252
4.150;4.550;3.172;3.952;3.157;2.927;5.252
4.525;4.150;4.550;3.172;3.952;3.157;4.727
4.575;4.525;4.150;4.550;3.172;3.952;4.677
5.400;4.575;4.525;4.150;4.550;3.172;7.052
6.527;5.400;4.575;4.525;4.150;4.550;4.727
6.252;6.527;5.400;4.575;4.525;4.150;4.852
5.252;6.252;6.527;5.400;4.575;4.525;4.827
4.727;5.252;6.252;6.527;5.400;4.575;6.902
4.677;4.727;5.252;6.252;6.527;5.400;4.352
7.052;4.677;4.727;5.252;6.252;6.527;5.102
4.727;7.052;4.677;4.727;5.252;6.252;5.277
4.852;4.727;7.052;4.677;4.727;5.252;6.855
4.827;4.852;4.727;7.052;4.677;4.727;4.980
6.902;4.827;4.852;4.727;7.052;4.677;4.130
4.352;6.902;4.827;4.852;4.727;7.052;4.775
5.102;4.352;6.902;4.827;4.852;4.727;4.720
5.277;5.102;4.352;6.902;4.827;4.852;4.945
6.855;5.277;5.102;4.352;6.902;4.827;4.500
4.980;6.855;5.277;5.102;4.352;6.902;5.125
4.130;4.980;6.855;5.277;5.102;4.352;4.900
4.775;4.130;4.980;6.855;5.277;5.102;5.350
4.720;4.775;4.130;4.980;6.855;5.277;3.950
4.945;4.720;4.775;4.130;4.980;6.855;4.375
4.500;4.945;4.720;4.775;4.130;4.980;4.600
5.125;4.500;4.945;4.720;4.775;4.130;4.690
4.900;5.125;4.500;4.945;4.720;4.775;4.005
5.350;4.900;5.125;4.500;4.945;4.720;3.300
3.950;5.350;4.900;5.125;4.500;4.945;4.300
4.375;3.950;5.350;4.900;5.125;4.500;4.700
4.600;4.375;3.950;5.350;4.900;5.125;2.645
4.690;4.600;4.375;3.950;5.350;4.900;5.300
4.005;4.690;4.600;4.375;3.950;5.350;5.485
3.300;4.005;4.690;4.600;4.375;3.950;5.325
4.300;3.300;4.005;4.690;4.600;4.375;4550
4.700;4.300;3.300;4.005;4.690;4.600;5225
2.645;4.700;4.300;3.300;4.005;4.690;5275
5.300;2.645;4.700;4.300;3.300;4.005;6375
5.485;5.300;2.645;4.700;4.300;3.300;5675
5.325;5.485;5.300;2.645;4.700;4.300;5765
4.550;5.325;5.485;5.300;2.645;4.700;6300
