0,1,2.615,2.770,2.925,3.153,3.319,3.592
0,1,2.436,2.615,2.770,2.925,3.153,3.572
0,0,2.311,2.436,2.615,2.770,2.925,4.272
0,0,2.153,2.311,2.436,2.615,2.770,4.622
0,0,2.034,2.153,2.311,2.436,2.615,4.687
0,0,1.718,2.034,2.153,2.311,2.436,3.312
0,0,1.763,1.718,2.034,2.153,2.311,3.302
0,0,1.915,1.763,1.718,2.034,2.153,3.352
0,1,2.120,1.915,1.763,1.718,2.034,2.927
0,0,2.340,2.120,1.915,1.763,1.718,3.157
0,0,2.595,2.340,2.120,1.915,1.763,3.952
0,1,2.910,2.595,2.340,2.120,1.915,3.172
0,1,3.059,2.910,2.595,2.340,2.120,4.550
0,0,3.212,3.059,2.910,2.595,2.340,4.150
0,0,3.388,3.212,3.059,2.910,2.595,4.525
0,0,3.666,3.388,3.212,3.059,2.910,4.575
0,0,3.680,3.666,3.388,3.212,3.059,5.400
0,0,3.716,3.680,3.666,3.388,3.212,6.527
0,0,3.676,3.716,3.680,3.666,3.388,9.252
0,0,3.703,3.676,3.716,3.680,3.666,5.252
0,0,3.656,3.703,3.676,3.716,3.680,4.727
0,1,3.640,3.656,3.703,3.676,3.716,4.677
0,0,3.766,3.640,3.656,3.703,3.676,7.552
0,0,3.976,3.766,3.640,3.656,3.703,4.727
0,0,4.294,3.976,3.766,3.640,3.656,4.852
0,0,4.926,4.294,3.976,3.766,3.640,4.827
0,0,5.136,4.926,4.294,3.976,3.766,6.902
0,0,5.213,5.136,4.926,4.294,3.976,4.352
0,0,5.364,5.213,5.136,4.926,4.294,5.102
0,0,5.664,5.364,5.213,5.136,4.926,5.277
0,0,5.721,5.664,5.364,5.213,5.136,6.855
0,0,5.754,5.721,5.664,5.364,5.213,4.980
0,0,5.779,5.754,5.721,5.664,5.364,4.130
0,0,5.930,5.779,5.754,5.721,5.664,4.775
0,0,5.712,5.930,5.779,5.754,5.721,4.720
0,0,5.297,5.712,5.930,5.779,5.754,4.945
0,1,5.300,5.297,5.712,5.930,5.779,4.500
0,0,5.512,5.300,5.297,5.712,5.930,5.125
0,0,5.543,5.512,5.300,5.297,5.712,4.900
0,0,5.200,5.543,5.512,5.300,5.297,5.350
0,2,5.205,5.200,5.543,5.512,5.300,3.950
0,0,5.192,5.205,5.200,5.543,5.512,4.375
0,0,5.204,5.192,5.205,5.200,5.543,4.600
0,0,4.964,5.204,5.192,5.205,5.200,4.690
0,0,5.041,4.964,5.204,5.192,5.205,4.005
0,0,5.021,5.041,4.964,5.204,5.192,3.300
0,1,5.028,5.021,5.041,4.964,5.204,4.300
0,0,4.738,5.028,5.021,5.041,4.964,4.700
0,1,4.677,4.738,5.028,5.021,5.041,1.645
1,5,4.724,4.677,4.738,5.028,5.021,0
0,0,4.716,4.724,4.677,4.738,5.028,5.300
0,1,4.644,4.716,4.724,4.677,4.738,5.485
0,1,4.480,4.644,4.716,4.724,4.677,5.325
