2.615;2.770;2.925;3.153;3.319;1;3.572
2.436;2.615;2.770;2.925;3.153;0;4.272
2.311;2.436;2.615;2.770;2.925;0;4.322
2.153;2.311;2.436;2.615;2.770;0;4.387
2.034;2.153;2.311;2.436;2.615;0;3.312
2.006;2.034;2.153;2.311;2.436;0;3.302
2.107;2.006;2.034;2.153;2.311;0;3.352
2.257;2.107;2.006;2.034;2.153;1;2.927
2.532;2.257;2.107;2.006;2.034;0;3.157
2.757;2.532;2.257;2.107;2.006;0;3.952
2.989;2.757;2.532;2.257;2.107;1;3.172
3.167;2.989;2.757;2.532;2.257;1;4.550
3.315;3.167;2.989;2.757;2.532;0;4.150
3.473;3.315;3.167;2.989;2.757;0;4.525
3.606;3.473;3.315;3.167;2.989;0;4.575
3.620;3.606;3.473;3.315;3.167;0;5.400
3.656;3.620;3.606;3.473;3.315;0;6.527
3.616;3.656;3.620;3.606;3.473;0;6.252
3.643;3.616;3.656;3.620;3.606;0;5.252
3.626;3.643;3.616;3.656;3.620;0;4.727
3.640;3.626;3.643;3.616;3.656;1;4.677
3.766;3.640;3.626;3.643;3.616;0;7.052
3.976;3.766;3.640;3.626;3.643;0;4.727
4.294;3.976;3.766;3.640;3.626;0;4.852
4.626;4.294;3.976;3.766;3.640;0;4.827
4.836;4.626;4.294;3.976;3.766;0;6.902
4.913;4.836;4.626;4.294;3.976;0;4.352
5.064;4.913;4.836;4.626;4.294;0;5.102
5.314;5.064;4.913;4.836;4.626;0;5.277
5.371;5.314;5.064;4.913;4.836;0;6.855
5.404;5.371;5.314;5.064;4.913;0;4.980
5.429;5.404;5.371;5.314;5.064;0;4.130
5.580;5.429;5.404;5.371;5.314;0;4.775
5.362;5.580;5.429;5.404;5.371;0;4.720
5.247;5.362;5.580;5.429;5.404;0;4.945
5.250;5.247;5.362;5.580;5.429;1;4.500
5.462;5.250;5.247;5.362;5.580;0;5.125
5.493;5.462;5.250;5.247;5.362;0;4.900
5.200;5.493;5.462;5.250;5.247;0;5.350
5.205;5.200;5.493;5.462;5.250;2;3.950
5.192;5.205;5.200;5.493;5.462;0;4.375
5.204;5.192;5.205;5.200;5.493;0;4.600
4.964;5.204;5.192;5.205;5.200;0;4.690
5.041;4.964;5.204;5.192;5.205;0;4.005
5.021;5.041;4.964;5.204;5.192;0;3.300
5.028;5.021;5.041;4.964;5.204;1;4.300
4.738;5.028;5.021;5.041;4.964;0;4.700
4.677;4.738;5.028;5.021;5.041;2;2.645
4.724;4.677;4.738;5.028;5.021;0;5.300
4.716;4.724;4.677;4.738;5.028;1;5.485
4.644;4.716;4.724;4.677;4.738;1;5.325
4.480;4.644;4.716;4.724;4.677;1;4550
4.460;4.480;4.644;4.716;4.724;0;5225
4.417;4.460;4.480;4.644;4.716;0;5275
4.192;4.417;4.460;4.480;4.644;0;6375
4.187;4.192;4.417;4.460;4.480;0;5675
4.340;4.187;4.192;4.417;4.460;0;5765
4.435;4.340;4.187;4.192;4.417;0;6300
