3.352,3.737,0,-255
2.787,3.802,0,285
3.302,3.622,0,-565
2.577,3.622,0,515
2.072,3.322,0,-725
1.522,3.067,0,-505
2.072,3.352,0,-550
2.072,2.787,0,550
1.532,3.302,0,0
1.822,2.577,0,-540
1.775,2.072,0,290
1.592,1.522,0,-47
147,2.072,3,-183
3.022,2.072,0,-1.445
3.592,1.532,1,2.875
3.572,1.822,1,570
4.272,1.775,0,-20
4.622,1.592,0,700
4.687,147,0,350
3.312,3.022,0,65
3.302,3.592,0,-1.375
3.352,3.572,0,-10
2.927,4.272,1,50
3.157,4.622,0,-425
3.952,4.687,0,230
3.172,3.312,1,795
4.550,3.302,1,-780
4.150,3.352,0,1.378
4.525,2.927,0,-400
4.575,3.157,0,375
5.400,3.952,0,50
6.527,3.172,0,825
9.252,4.550,0,1.127
5.252,4.150,0,2.725
4.727,4.525,0,-4.000
4.677,4.575,1,-525
7.552,5.400,0,-50
4.727,6.527,0,2.875
4.852,9.252,0,-2.825
4.827,5.252,0,125
6.902,4.727,0,-25
4.352,4.677,0,2.075
5.102,7.552,0,-2.550
5.277,4.727,0,750
6.855,4.852,0,175
4.980,4.827,0,1.578
4.130,6.902,0,-1.875
4.775,4.352,0,-850
4.720,5.102,0,645
4.945,5.277,0,-55
4.500,6.855,1,225
5.125,4.980,0,-445
4.900,4.130,0,625
5.350,4.775,0,-225
3.950,4.720,2,450
4.375,4.945,0,-1.400
4.600,4.500,0,425
4.690,5.125,0,225
4.005,4.900,0,90
3.300,5.350,0,-685
4.300,3.950,1,-705
4.700,4.375,0,1.000
1.645,4.600,1,400
0,4.690,5,-3.055
5.300,4.005,0,-1.645
5.485,3.300,1,5.300
5.325,4.300,1,185
