2;4;1
4;8;2
6;12;3
8;16;4
10;20;5
12;24;6
14;28;7
16;32;8
18;36;9
20;40;10
22;44;11
24;48;12
26;52;13
28;56;14
30;60;15
32;64;16
34;68;17
36;72;18
38;76;19
40;80;20
42;84;21
44;88;22
46;92;23
48;96;24
50;100;25
52;104;26
54;108;27
56;112;28
58;116;29
60;120;30
62;124;31
64;128;32
66;132;33
68;136;34
70;140;35
72;144;36
74;148;37
76;152;38
78;156;39
80;160;40
82;164;41
84;168;42
86;172;43
88;176;44
90;180;45
92;184;46
94;188;47
96;192;48
98;196;49
100;200;50
102;204;51
104;208;52
106;212;53
108;216;54
110;220;55
112;224;56
114;228;57
116;232;58
118;236;59
120;240;60
122;244;61
124;248;62
126;252;63
128;256;64
130;260;65
132;264;66
134;268;67
136;272;68
138;276;69
140;280;70
142;284;71
144;288;72
146;292;73
